#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
usp000hsb7|2010-12-30T23:47:03.930|-31.83|-178.135|35|us|us|us|usp000hsb7|mwc|5|gcmt|Kermadec Islands region
usp000hsb2|2010-12-30T21:22:30.350|-19.984|168.353|20.2|us|us|us|usp000hsb2|mwc|5|gcmt|108 km WSW of Isangel, Vanuatu
usp000hsah|2010-12-30T16:56:14.930|9.989|126.249|58.5|us|us|us|usp000hsah|mwc|5|gcmt|21 km NE of Pilar, Philippines
usp000hsaa|2010-12-30T14:36:54.560|-10.819|165.376|10|us|us|us|usp000hsaa|mwb|5.6|us|47 km WSW of Lata, Solomon Islands
usp000hs9x|2010-12-30T09:11:50.220|-19.171|167.952|10|us|us|us|usp000hs9x|mwc|5|gcmt|145 km WNW of Isangel, Vanuatu
usp000hs9t|2010-12-30T07:35:26.660|-10.588|164.338|28.6|us|us|us|usp000hs9t|mwc|5.2|gcmt|160 km W of Lata, Solomon Islands
usp000hs9e|2010-12-29T23:27:02.900|-23.166|-179.941|543|us|us|us|usp000hs9e|mb|5|us|south of the Fiji Islands
usp000hs93|2010-12-29T18:30:59.750|30.942|86.508|21.9|us|us|us|usp000hs93|mwc|5.1|gcmt|217 km NE of Saga, China
usp000hs8d|2010-12-29T09:46:19.020|-19.497|168.217|10|us|us|us|usp000hs8d|mb|5|us|111 km W of Isangel, Vanuatu
usp000hs84|2010-12-29T07:09:24.940|-19.529|168.109|10|us|us|us|usp000hs84|mb|5.2|us|123 km W of Isangel, Vanuatu
usp000hs83|2010-12-29T07:02:17.340|-19.701|168.123|10|us|us|us|usp000hs83|mb|5.5|us|122 km W of Isangel, Vanuatu
usp000hs82|2010-12-29T06:54:19.640|-19.661|168.14|16|us|us|us|usp000hs82|mwc|6.4|us|120 km W of Isangel, Vanuatu
usp000hs79|2010-12-28T22:02:18.340|-19.441|168.052|10|us|us|us|usp000hs79|mwc|5|gcmt|129 km W of Isangel, Vanuatu
usp000hs78|2010-12-28T21:43:50.150|-19.385|168.014|10.4|us|us|us|usp000hs78|mwc|5.2|gcmt|134 km W of Isangel, Vanuatu
usp000hs77|2010-12-28T21:41:48.430|8.337|-102.804|10|us|us|us|usp000hs77|mwc|5.4|gcmt|northern East Pacific Rise
usp000hs6y|2010-12-28T16:59:11.440|-20.114|-173.909|35|us|us|us|usp000hs6y|mwc|5.1|gcmt|57 km SE of Pangai, Tonga
usp000hs6s|2010-12-28T12:38:49.560|-23.595|-175.655|35|us|us|us|usp000hs6s|mwc|5|gcmt|Tonga region
usp000hs6q|2010-12-28T12:09:53.080|-19.947|168.043|10|us|us|us|usp000hs6q|mb|5.2|us|134 km NE of Wé, New Caledonia
usp000hs6h|2010-12-28T08:34:17.550|-23.407|-179.802|551|us|us|us|usp000hs6h|mwc|6.3|us|
usp000hs6b|2010-12-28T06:54:46.860|-19.282|168.017|10|us|us|us|usp000hs6b|mb|5|us|135 km WNW of Isangel, Vanuatu
usp000hs5v|2010-12-28T02:20:29.680|-19.378|168.069|10|us|us|us|usp000hs5v|mb|5.2|us|128 km W of Isangel, Vanuatu
usp000hs5k|2010-12-28T00:26:38.610|27.18|143.513|10|us|us|us|usp000hs5k|mb|5.1|us|Bonin Islands, Japan region
usp000hs5a|2010-12-27T21:36:41.590|-20.056|168.214|14.1|us|us|us|usp000hs5a|mb|5.1|us|125 km WSW of Isangel, Vanuatu
usp000hs53|2010-12-27T20:33:15.780|-19.864|168.219|10|us|us|us|usp000hs53|mb|5.2|us|116 km WSW of Isangel, Vanuatu
usp000hs50|2010-12-27T19:40:12.650|-19.311|167.96|10|us|us|us|usp000hs50|mwc|5.5|gcmt|141 km W of Isangel, Vanuatu
usp000hs4m|2010-12-27T16:43:48.440|-19.086|167.926|10|us|us|us|usp000hs4m|mwc|5.1|gcmt|Vanuatu region
