#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
usp000ctu4|2004-04-30T10:03:45.090|-33.548|-70.52|93.8|us|us|us|usp000ctu4|mwc|5.1|hrv|8 km NE of Puente Alto, Chile
usp000ctsh|2004-04-29T22:41:18.430|-27.556|-112.994|10|us|us|us|usp000ctsh|mwc|5.3|hrv|Easter Island region
usp000cts3|2004-04-29T19:57:00.440|-5.533|131.005|76.6|us|us|us|usp000cts3|mwc|5|hrv|193 km W of Tual, Indonesia
usp000ctpz|2004-04-29T00:57:21.080|10.805|-85.995|10|us|us|us|usp000ctpz|mwb|6.2|us|49 km SW of La Cruz, Costa Rica
usp000ctpy|2004-04-29T00:44:24.330|-17.913|167.839|10|us|us|us|usp000ctpy|mwc|5.3|hrv|53 km WSW of Port-Vila, Vanuatu
usp000ctnq|2004-04-28T11:45:17.120|-16.494|-173.041|53.6|us|us|us|usp000ctnq|mwb|5.7|us|100 km SE of Hihifo, Tonga
usp000ctnf|2004-04-28T09:53:02.620|-22.402|170.843|10|us|us|us|usp000ctnf|mwc|5.2|hrv|southeast of the Loyalty Islands
usp000ctnd|2004-04-28T09:22:19.390|-20.756|-174.271|10|us|us|us|usp000ctnd|mwc|5.3|hrv|92 km ENE of Kolonga, Tonga
usp000ctmq|2004-04-28T04:08:59.900|12.155|-87.426|62|us|us|us|usp000ctmq|mwc|5.6|hrv|45 km SW of Corinto, Nicaragua
usp000ctmp|2004-04-28T03:41:57.110|-17.797|167.756|10|us|us|us|usp000ctmp|mwc|5.2|hrv|59 km W of Port-Vila, Vanuatu
usp000ctkv|2004-04-27T23:28:18.880|-17.757|167.756|10|us|us|us|usp000ctkv|mwc|6|hrv|59 km W of Port-Vila, Vanuatu
usp000ctkp|2004-04-27T21:24:54.780|10.127|125.33|15.5|us|us|us|usp000ctkp|mwc|5.1|hrv|19 km ENE of San Francisco, Philippines
usp000ctgz|2004-04-27T00:09:38.500|-23.552|-69.17|94.7|us|us|us|usp000ctgz|mwc|5|hrv|121 km SW of San Pedro de Atacama, Chile
usp000ctfb|2004-04-26T07:16:36.530|-5.857|150.862|43.3|us|us|us|usp000ctfb|mwc|5.2|hrv|87 km ESE of Kimbe, Papua New Guinea
usp000ctf8|2004-04-26T06:57:55.230|-21.032|-174.432|10|us|us|us|usp000ctf8|mwc|5.8|hrv|63 km ENE of ‘Ohonua, Tonga
usp000ctcb|2004-04-25T07:29:33.600|-21.757|169.675|10|us|us|us|usp000ctcb|mwc|5.4|hrv|187 km E of Tadine, New Caledonia
usp000ctbz|2004-04-25T05:11:26.310|-21.679|169.604|10|us|us|us|usp000ctbz|mwc|5|hrv|179 km E of Tadine, New Caledonia
usp000ctbn|2004-04-25T02:19:21.690|-21.779|169.576|10|us|us|us|usp000ctbn|mwc|5.8|hrv|177 km E of Tadine, New Caledonia
usp000ctb9|2004-04-24T23:19:10.960|-29.105|-112.355|10|us|us|us|usp000ctb9|mwc|5.6|hrv|Easter Island region
usp000ctb6|2004-04-24T23:00:22.510|-28.985|-112.289|10|us|us|us|usp000ctb6|mwc|5.8|hrv|Easter Island region
usp000ct9w|2004-04-24T11:56:04.780|-24.596|-175.896|10|us|us|us|usp000ct9w|mwc|5|hrv|south of Tonga
usp000ct9u|2004-04-24T11:45:42.470|-22.192|-11.898|26.2|us|us|us|usp000ct9u|mwc|5.1|hrv|southern Mid-Atlantic Ridge
usp000ct98|2004-04-24T08:03:06.130|0.819|-27.113|10|us|us|us|usp000ct98|mwc|5.4|hrv|central Mid-Atlantic Ridge
usp000ct95|2004-04-24T07:44:11.300|-21.899|-174.822|8|us|us|us|usp000ct95|mwb|6.1|us|64 km SSE of ‘Ohonua, Tonga
usp000ct64|2004-04-23T01:50:30.220|-9.362|122.839|65.8|us|us|us|usp000ct64|mwb|6.7|us|105 km WNW of Naisano Dua, Indonesia
usp000ct4r|2004-04-22T14:16:07.000|-3.355|146.853|35|us|us|us|usp000ct4r|mwb|6|us|153 km SSW of Lorengau, Papua New Guinea
usp000ct4g|2004-04-22T12:52:51.640|-17.759|167.909|10|us|us|us|usp000ct4g|mwc|5.3|hrv|42 km W of Port-Vila, Vanuatu
usp000ct4f|2004-04-22T12:49:05.240|-17.755|167.965|10|us|us|us|usp000ct4f|mwc|5.1|hrv|37 km W of Port-Vila, Vanuatu
usp000ct3x|2004-04-22T10:15:12.080|-17.628|167.964|24.7|us|us|us|usp000ct3x|mwc|5.7|hrv|38 km WNW of Port-Vila, Vanuatu
usp000ct3w|2004-04-22T10:11:12.660|-17.587|167.888|10|us|us|us|usp000ct3w|mwc|6|hrv|48 km WNW of Port-Vila, Vanuatu
usp000ct3v|2004-04-22T10:02:16.370|33.998|89.218|12.7|us|us|us|usp000ct3v|mwc|5.2|hrv|western Xizang
usp000ct3u|2004-04-22T09:49:23.290|-17.594|167.886|10|us|us|us|usp000ct3u|mwc|5.3|hrv|48 km WNW of Port-Vila, Vanuatu
usp000ct3d|2004-04-22T03:11:37.440|-17.626|167.915|10|us|us|us|usp000ct3d|mwc|5.2|hrv|44 km WNW of Port-Vila, Vanuatu
usp000ct3b|2004-04-22T03:05:40.330|-17.687|167.76|25.7|us|us|us|usp000ct3b|mwc|5.4|hrv|58 km W of Port-Vila, Vanuatu
usp000ct34|2004-04-22T02:13:20.780|-23.932|-69.919|48.8|us|us|us|usp000ct34|mwc|5|hrv|57 km ESE of Antofagasta, Chile
usp000ct11|2004-04-21T03:20:54.190|31.614|131.482|32.6|us|us|us|usp000ct11|mwc|5.2|hrv|11 km E of Nichinan, Japan
usp000ct0t|2004-04-21T01:20:42.720|32.935|-39.283|10|us|us|us|usp000ct0t|mwc|5.1|hrv|northern Mid-Atlantic Ridge
usp000ct0a|2004-04-20T21:41:32.710|32.959|-39.293|10|us|us|us|usp000ct0a|mwc|5.4|hrv|northern Mid-Atlantic Ridge
usp000cszz|2004-04-20T17:44:20.800|17.416|-94.717|145.8|unm|us|us|usp000cszz|mwc|5.4|hrv|8 km S of Vicente Guerrero, Mexico
usp000csz8|2004-04-20T07:17:33.130|-26.226|-177.209|93.7|us|us|us|usp000csz8|mb|5.1|us|south of the Fiji Islands
